Source,Type,section-nr,book-nr
prose.medicine,group,1,2
,,2,2
,,5,2
thoukydides,individual,5,2
platon_phil,individual,5,2
aristophanes_com,individual,5,2
herodotos,individual,5,2
,,6,2
aristophanes_com,individual,6,2
,,7,2
lysias,individual,7,2
antiphon_rhet,individual,7,2
platon_phil,individual,7,2
platon_phil,individual,7,2
xenophon,individual,7,2
kratinos,individual,7,2
aristophanes_com,individual,7,2
,,8,2
isaios,individual,8,2
herodotos,individual,8,2
ionic,group,8,2
,,9,2
poetry.comedy.new,group,9,2
platon_com,individual,9,2
poetry,group,9,2
eupolis,individual,9,2
,,10,2
kratinos,individual,10,2
theopompos_com,individual,10,2
,,11,2
poetry.comedy,group,11,2
,,12,2
demosthenes,individual,12,2
platon_phil,individual,12,2
,,13,2
thoukydides,individual,13,2
antiphon_rhet,individual,13,2
platon_phil,individual,13,2
antiphanes,individual,13,2
xenophon,individual,13,2
platon_phil,individual,13,2
,,14,2
hypereides,individual,14,2
alexis,individual,14,2
xenophon,individual,14,2
hypereides,individual,14,2
sophokles,individual,14,2
platon_phil,individual,14,2
euripides,individual,14,2
thoukydides,individual,14,2
euripides,individual,14,2
demosthenes,individual,14,2
,,15,2
platon_phil,individual,15,2
hypereides,individual,15,2
,,16,2
poetry.comedy,group,16,2
,,17,2
eupolis,individual,17,2
phrynichos,individual,17,2
pherekrates,individual,17,2
kratinos,individual,17,2
,,18,2
aristophanes_com,individual,18,2
isaios,individual,18,2
theopompos_com,individual,18,2
,,19,2
platon_phil,individual,19,2
,,20,2
platon_phil,individual,20,2
nikochares,individual,20,2
xenophon,individual,20,2
platon_phil,individual,20,2
xenophon,individual,20,2
aristophanes_com,individual,20,2
lysias,individual,20,2
aristophanes_com,individual,20,2
hypereides,individual,20,2
platon_phil,individual,20,2
isaios,individual,20,2
isokrates,individual,20,2
,,21,2
,,22,2
poetry,group,22,2
poetry,group,22,2
,,23,2
herodotos,individual,23,2
archilochos,individual,23,2
prose.attic,group,23,2
alexis,individual,23,2
pherekrates,individual,23,2
telesilla,individual,23,2
sophokles,individual,23,2
,,24,2
philonides,individual,24,2
,,25,2
,,26,2
homeros,individual,26,2
,,27,2
poetry,group,27,2
archilochos,individual,27,2
anaxilas,individual,27,2
pherekrates,individual,27,2
,,28,2
aristophanes_com,individual,28,2
eupolis,individual,28,2
kratinos,individual,28,2
pherekrates,individual,28,2
poetry.comedy,group,28,2
,,29,2
doric,group,29,2
euboulos,individual,29,2
anaxilas,individual,29,2
,,30,2
timaios,individual,30,2
attic,group,30,2
,,31,2
undefined,group,31,2
homeros,individual,31,2
sophokles,individual,31,2
,,32,2
aristophanes_com,individual,32,2
undefined,group,32,2
poetry.comedy,group,32,2
